Name,Name (plain),rank,Chemistry,Z (chemical formula units in the unit cell),Chemistry Elements,Elements,Cu redox,localities,Db ID,Paragenetic mode,Metamorphic,Primary,Secondary,Abiotic,Biotic,Mineral name,v,IG,"IG,total","IG,n",Year,ICSD code,discovery,discovery method,max size (cm),color,luster,hard,structure,structure type,   a   ,   b   ,   c   ,   α   ,   β   ,   γ   ,   volume   ,   crystal system   ,   point group   ,   space group   ,multiplicity,   lattice   ,Max Age (Ma),MinDat Locality ID,Unique Ages,Unique Ages (including parents),Locality,Location,Ref,Excel ID
Pradetite,Pradetite,3761,Co^2+^Cu^2+^_4_(As^5+^O_4_)_2_(As^5+^O_3_OH)_2_·9H_2_O,,Co Cu As O H,5,2,3,5579,72,0,0,1,0,1,Pradetite,43,4.45,191.329,0.82,,,1991,1,0.03,green,2,,0,Lindackerite,6.4355,8.05175,10.3775,84.0375,80.78,85.1,525.525,triclinic,1,P1,,P,330.6,158151,2,10,"Jáchymov District (St Joachimsthal), Krušné Hory Mts (Erzgebirge), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic","50.399444444444,12.813611111111",L151_105,
Prewittite,Prewittite,4777,KPb^2+^_1.5_Zn^2+^Cu^2+^_6_O_2_(Se^4+^O_3_)_2_Cl^1-^_10_,,K Pb Zn Cu O Se Cl,7,2,1,5200,72,0,0,1,0,1,Prewittite,118,4.222,498.152,0.613,,,2002,1,0.02,green,2,,1,,9.132,19.415,13.213,90,90,90,2342.636,orthorhombic,2/m2/m2/m,Pnnm,,P,3.60E-05,16637,1,6,"Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Oblast', Far-Eastern Region, Russia","55.713055555556,160.25305555556",BV43_47,
Proudite,Proudite,3234,"Cu_2_Pb_16_Bi_20_(S,Se)_47_",,Cu Pb Bi S Se,5,,4,3721,51,0,1,0,1,0,Proudite,85,5.421,460.798,0.846,2009,163135,1975,1,0.02,gray,1,2.5,1,,31.88715,4.1101,36.625,90,109.393,90,4527.739,monoclinic,2/m,C2/m,,C,,,0,7,,,,
Pseudoboleite,Pseudoboleite,1057,Pb^2+^_31_Cu^2+^_24_Cl_62_(OH)_48_,,Pb Cu Cl O H,5,2,28,3724,"72,89",0,0,1,0,1,Pseudoboleite,218,4.64,1011.464,0.597,1992,67680,1895,6,0.1,blue,6,2.5,1,,15.2421,15.2421,30.80133333,90,90,90,7155.818,tetragonal,4/m2/m2/m,I4/mmm,32,I,946,227771,8,61,"Bird Nest E3, Otto Mountain, Baker, San Bernardino Co., California, USA","35.276111111111,-116.09972222222",GSAB101_1574,
Pseudojohannite,Pseudojohannite,1866,Cu^2+^_3_(U^6+^O_2_)_4_O_4_(S^6+^O_4_)_2_(OH)_2_·12H_2_O,,Cu U O S H,5,2,9,5473,72,0,0,1,0,1,Pseudojohannite,6,2.585,15.51,1,2006,156178,2000,1,0.0025,green,2,,1,,9.669925,10.591375,13.491375,92.68125,104.43275,94.1735,1298.875,triclinic,,,,,675,4322,4,23,"Musonoi Mine, Kolwezi, Kolwezi District, Katanga Copper Crescent, Katanga (Shaba), Democratic Republic Of Congo (Zaïre)","-10.7,25.383333333333",OGR40_81,
Pseudolyonsite,Pseudolyonsite,3766,Cu^2+^_3_(V^5+^O_4_)_2_,,Cu V O,3,2,1,5790,72,0,0,1,0,1,Pseudolyonsite,26,2.777,72.211,0.591,,,2009,1,0.05,brown,3,3,1,,6.2594,8.00655,6.3698,90,111.725,90,296.5515,monoclinic,2/m,P21/c,,P,3.60E-05,2656,1,8,"Yadovitaya Fumarole, Second Scoria Cone, Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Oblast', Far-Eastern Region, Russia","55.833333333333,160.33333333333",BV43_47,
Pseudomalachite,Pseudomalachite,219,Cu^2+^_5_(P^5+^O_4_)_2_(OH)_4_,,Cu P O H,4,2,339,3728,72,0,0,1,0,1,Pseudomalachite,38,3.301,125.421,0.629,1977,10418,1813,6,0.6,green,2,5,1,,4.4746,5.746566667,17.0145,90,91.02466667,90,437.4343333,monoclinic,2/m,P21/c,4,P,3200,231,104,474,"Whim Creek Copper Mine (Whim Creek Copper Prospect; Whim Well Mine), Whim Creek, Roebourne Shire, Western Australia, Australia","-20.863888888889,117.8325",USGSOFR2009_1034,
Puninite,Puninite,4781,Na_2_Cu^2+^_3_O(S^6+^O_4_)_3_,,Na Cu O S,4,2,1,6421,72,0,0,1,0,1,Puninite,,,,,,,2015,1,,,,,0,Euchlorine,17.388,9.4009,14.404,90,112.039,90,2182.471,monoclinic,2/m,C2/c,,C,3.60E-05,259833,1,8,"Glavnaya Tenoritovaya Fumarole (Major Tenorite), Second Scoria Cone, Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Oblast', Far-Eastern Region, Russia","55.683333333333,160.23333333333",BV43_47,
Pushcharovskite,Pushcharovskite,3235,K_0.6_Cu^2+^_18_[As^5+^O_2_(OH)_2_]_4_[As^5+^O_3_OH]_10_(As^5+^O_4_)(OH)_9.6_·18.6H_2_O,,K Cu As O H,5,2,3,3737,72,0,0,1,0,1,Pushcharovskite,238,6.895,1640.967,0.873,2000,411236,1995,1,0.05,green,2,,1,,13.6164,15.6672,19.1869,106.933,91.531,98.401,3863.296,triclinic,1,P1,,P,330.6,777,2,12,"Jáchymov (St Joachimsthal), Jáchymov District (St Joachimsthal), Krušné Hory Mts (Erzgebirge), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic","50.372222222222,12.894166666667",L151_105,
Putoranite,Putoranite,2855,Cu_1.1_Fe_1.2_S_2_,,Cu Fe S,3,,2,3738,51,0,1,0,1,0,Putoranite,,,,,,,1979,1,0.01,yellow,1,4.5,0,Chalcopyrite,5.3,5.3,5.3,90,90,90,148.877,cubic,,,,,250.4,266145,2,14,"Kharaelakh Lode, Oktyabr'skoe Cu-Ni Deposit (Oktyabr'skoye; Oktyabr'sky), Talnakh Cu-Ni Deposit, Noril'sk, Putoran Plateau, Taimyr Peninsula, Taymyrskiy Autonomous Okrug, Eastern-Siberian Region, Russia","0,0",GCA59_2071,
Putzite,Putzite,3769,"(Cu,Ag)_8_GeS_6_",,Cu Ag Ge S,4,,1,5194,51,0,1,0,1,0,Putzite,13,1.892,24.596,0.511,2004,171972,2002,1,0.3,black,1,3.5,1,Argyrodite,10.125,10.125,10.125,90,90,90,1037.971,cubic,43m,F43m,,F,9,222467,1,5,"La Rosario Vein, Capillitas Mine, Andalgalá Department, Catamarca, Argentina","0,0",MGSA154_791,
Quetzalcoatlite,Quetzalcoatlite,2383,"Cu^2+^_3_Zn^2+^_6_Te^6+^_2_O_12_(OH)_6_·(Ag^1+^,Pb^2+^,[box])Cl^1-^",,Cu Zn Te O H Ag Pb Cl,8,2,5,3767,72,0,0,1,0,1,Quetzalcoatlite,31,2.348,72.786,0.474,2000,89821,1973,1,0.04,blue,6,3,1,,10.145,10.145,4.9925,90,90,120,444.993,hexagonal,32/m2/m,P31m,,P,76,30675,2,17,"Old Guard Mine (Royal Guard Mine), Tombstone District, Tombstone Hills, Cochise Co., Arizona, USA","31.703055555556,-110.07333333333",EG94_211,
Radovanite,Radovanite,4789,Cu^2+^_2_Fe^3+^(As^3+^O_2_OH)_2_(As^5+^O_4_)·H_2_O,,Cu Fe As O H,5,2,1,3774,72,0,0,1,0,1,Radovanite,68,3.382,229.947,0.555,2002,97623,2000,1,0.015,green,2,,1,,9.585,13.143,8.0884,90,90,90,1018.941,orthorhombic,2/m2/m2/m,Pnma,,P,251,6914,1,6,"Roua Mines (Clue De Roua), Daluis, Guillaumes, Alpes-Maritimes, Provence-Alpes-Côte D'Azur, France","44.030277777778,6.8677777777778",,
Raisaite,Raisaite,4791,Cu^2+^Mg[Te^6+^O_4_(OH)_2_]·6H_2_O,,Cu Mg Te O H,5,2,1,6342,72,0,0,1,0,1,,,,,,,,2014,1,0.06,blue,6,2,0,,9.9078,10.1325,9.8375,90,91.839,90,987.086,monoclinic,2/m,C2/c,,C,,,0,3,,,,
Rajite,Rajite,3773,Cu^2+^Te^4+^_2_O_5_,,Cu Te O,3,2,2,3778,72,0,0,1,0,1,Rajite,32,3,96,0.6,1973,2542,1978,1,0.15,green,4,4,1,,6.8695,9.3255,7.601,90,109.085,90,460.167,monoclinic,2/m,P21/c,,P,1.79,10178,1,9,"Kawazu Mine (Rendaiji Mine; Rendaizi Mine), Rendaiji, Shimoda City, Shizuoka Prefecture, Chubu Region, Honshu Island, Japan","34.699444444444,138.92222222222",MJ14_92,
Ramsbeckite,Ramsbeckite,697,Cu^2+^_15_(S^6+^O_4_)_4_(OH)_22_·6H_2_O,,Cu S O H,4,2,61,3784,"72,89",0,0,1,0,1,Ramsbeckite,126,4.993,629.137,0.716,1988,63249,1984,1,0.3,green,2,3.5,1,,16.10945,15.5835,7.0914,90,90.2395,90,1780.2175,monoclinic,2/m,P21/a,4,P,444,8472,23,110,"Argentiera Della Nurra Mine, Sassari, Sassari Province, Sardinia, Italy","40.741666666667,8.1475",EJM4_395,
Ransomite,Ransomite,2574,Cu^2+^Fe^3+^_2_(S^6+^O_4_)_4_·6H_2_O,,Cu Fe S O H,5,2,4,3790,"72,89",0,0,1,0,1,Ransomite,58,3.892,225.763,0.664,1970,15177,1928,2,0.2,blue,2,2.5,1,,4.811,16.217,10.403,90,93.02,90,810.515,monoclinic,2/m,P21/c,,P,200.7,3300,3,16,"Campbell Mine (Campbell Shaft), Bisbee, Warren District, Mule Mts, Cochise Co., Arizona, USA","31.424166666667,-109.89444444444",UBCMDRUSP2_1,
Redgillite,Redgillite,914,Cu^2+^_6_S^6+^O_4_(OH)_10_·H_2_O,,Cu S O H,4,2,40,5276,72,0,0,1,0,1,Redgillite,48,3.585,172.078,0.642,2005,157069,2003,1,0.015,green,2,2,0,,3.155,10.441,19.436,90,90.089,90,640.2,monoclinic,2/m,P21/c,4,P,405,13168,15,56,"Schöne Aussicht Mine, Burbach, Siegerland, North Rhine-Westphalia, Germany","0,0",AP17_225,
Reichenbachite,Reichenbachite,1165,Cu^2+^_5_(P^5+^O_4_)_2_(OH)_4_,,Cu P O H,4,2,25,3813,72,0,0,1,0,1,Reichenbachite,38,3.301,125.421,0.629,1977,100019,1985,1,0.03,green,2,3.5,1,,9.186,10.684,4.461,90,92.31,90,437.461,monoclinic,2/m,P21/a,4,P,1640,44061,5,48,"Binghampton Mine (Arizona Binghampton Mine; Patented Claims MS 1694; 2543; 3421; 3517 And 3613), Mayer, Agua Fria District, Bradshaw Mts (Bradshaw Range), Yavapai Co., Arizona, USA","34.455833333333,-112.19388888889",USGSOFR2009_1034,
Renierite,Renierite,1058,"(Cu^1+^,Zn)_11_Fe_4_(Ge^4+^,As^5+^)_2_S_16_",,Cu Zn Fe Ge As S,6,1,29,3821,51,0,1,0,1,0,Renierite,66,3.529,232.93,0.584,1989,203093,1948,4,0.3,brown,1,3.5,1,Germanite,10.61706667,10.61706667,10.54586667,90,90,90,1188.752667,tetragonal,42m,P42c,8,P,780,7088,17,95,"Kraubath An Der Mur, Leoben, Styria, Austria","47.2825,14.929722222222",MP73_247,
Rhodostannite,Rhodostannite,1701,"(Cu,Ag)_2_FeSn_3_S_8_",,Cu Ag Fe Sn S,5,1,10,3838,78,0,0,1,1,0,Rhodostannite,14,1.379,19.303,0.362,1979,8215,1968,1,0.05,gray,1,4,1,Spinel,7.356,7.356,10.3885,90,90,90,562.2005,tetragonal,4/m,I41/a,16,I,200.7,3300,3,27,"Campbell Mine (Campbell Shaft), Bisbee, Warren District, Mule Mts, Cochise Co., Arizona, USA","31.424166666667,-109.89444444444",UBCMDRUSP2_1,
Richelsdorfite,Richelsdorfite,803,Ca_2_Cu^2+^_5_Sb^5+^(As^5+^O_4_)_4_(OH)_6_Cl·6H_2_O,,Ca Cu Sb As O H Cl,7,2,48,3844,72,0,0,1,0,1,Richelsdorfite,82,4.626,379.319,0.728,1987,62399,1982,1,0.1,blue,2,2,1,,14.1065,14.2095,13.5125,90,101.165,90,2657.2795,monoclinic,2/m,C2/m,8,C,416,123375,28,125,"Stocker Adit, Silberberg, Geyer - Silberberg District, Brixlegg - Rattenberg, Brixlegg - Schwaz Area, Inn Valley, North Tyrol, Tyrol, Austria","0,0",,
Rickardite,Rickardite,817,Cu_2.64-3.00_Te_2_,,Cu Te,2,,48,3847,51,0,1,0,1,0,Rickardite,20,1.522,30.439,0.352,,,1903,4,0.05,gray,1,3.5,1,,3.98,3.98,6.12,90,90,90,96.943,tetragonal,4/m2/m2/m,P4/nmm,16,P,2710,225,19,113,"Kambalda, Coolgardie Shire, Western Australia, Australia","-31.232222222222,121.64722222222",EG105_1057,
Rohaite,Rohaite,3784,"(Tl,Pb,K)_2_Cu_8.7_Sb_2_S_4_",,Tl Pb K Cu Sb S,6,,1,3866,"18,51",0,1,0,1,0,Rohaite,,,,,,,1973,1,0.05,gray,1,3.5,0,,3.8025,3.799,20.986,90,90,90,303.157,orthorhombic,,,,,1160,248324,1,6,"Rohaite Occurrence, Kuannersuit Plateau (Kvanefjeld), Ilímaussaq Complex, Narsaq, Kujalleq, Greenland","0,0",CG227_258,
Rollandite,Rollandite,4811,Cu^2+^_3_(As^5+^O_4_)_2_·4H_2_O,,Cu As O H,4,2,1,3868,72,0,0,1,0,1,Rollandite,68,3.264,221.947,0.536,2000,90026,1998,1,0.02,green,2,4.5,1,,5.6906,17.061,9.732,90,90,90,944.854,orthorhombic,2/m2/m2/m,Pnma,,P,251,6914,1,6,"Roua Mines (Clue De Roua), Daluis, Guillaumes, Alpes-Maritimes, Provence-Alpes-Côte D'Azur, France","44.030277777778,6.8677777777778",,
Romanorlovite,Romanorlovite,4812,K_8_Cu^2+^_6_Cl_17_(OH)_3_,,K Cu Cl O H,5,2,1,6304,72,0,0,1,0,1,Romanorlovite,121,4.109,497.182,0.594,,,2014,1,,,,,0,,17.5804,17.5804,15.9075,90,90,90,4916.538,tetragonal,4/m2/m2/m,I4/mmm,,I,3.60E-05,259833,1,8,"Glavnaya Tenoritovaya Fumarole (Major Tenorite), Second Scoria Cone, Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Oblast', Far-Eastern Region, Russia","55.683333333333,160.23333333333",BV43_47,
Roquesite,Roquesite,994,CuInS_2_,,Cu In S,3,1,33,3876,"31,51",1,1,0,1,0,Roquesite,8,1.5,12,0.5,1988,628063,1962,1,0.03,gray,1,4,1,Chalcopyrite,5.522895,5.522895,11.126475,90,90,90,339.3835,tetragonal,42m,I42d,16,I,2716,4381,18,105,"Kidd Creek Mine (Kidd Mine), Kidd Township, Timmins Area, Cochrane District, Ontario, Canada","48.69,-81.366666666667",USGSOFR2009_1034,
Rosasite,Rosasite,186,Cu^2+^Zn^2+^CO_3_(OH)_2_,,Cu Zn C O H,5,2,418,3878,"72,89",0,0,1,0,1,Rosasite,32,3,96,0.6,2006,109166,1908,4,0.05,blue,4,4.5,1,Malachite,12.87586667,9.347166667,3.160733333,90,110.1573333,90,357.1036667,monoclinic,2/m,P21/a,4,P,3350,220,98,460,"Coppin Pool, Tom Price, Ashburton Shire, Western Australia, Australia","-22.833333333333,118.13333333333",AJES38_261,
Rosièresite,Rosieresite,3785,Pb_x_Cu_y_Al_z_(PO_4_)_m_·nH_2_O,,Pb Cu Al P O H,6,2,2,3890,"72,89",0,0,1,0,1,Rosièresite,,,,,,,1841,6,4,yellow,2,3.5,0,,,,,,,,,,,,,,,,0,3,,,,
Rouaite,Rouaite,1952,Cu^2+^_2_N^5+^O_3_(OH)_3_,,Cu N O H,4,2,8,3895,"72,85",0,0,1,0,1,Rouaite,24,3.585,86.039,0.782,,,1999,1,0.01,green,2,,1,,5.599,6.078,6.925,90,94.52,90,234.9305,monoclinic,2,P21,,P,2700,108736,6,42,"Sanyati Mine, Kadoma District, Mashonaland West, Zimbabwe","0,0",G82_469,
Roubaultite,Roubaultite,3247,Cu^2+^_2_O_2_(U^6+^O_2_)_3_(CO_3_)_2_(OH)_2_·4H_2_O,,Cu O U C H,5,2,4,3896,72,0,0,1,0,1,Roubaultite,37,4.236,156.75,0.813,1985,60064,1970,1,0.3,green,2,3,1,,7.766,6.9195,7.845,92.235,90.89,93.48,420.4005,triclinic,1,P1,,P,675,41278,3,10,"KOV Open Cut (Kamoto-Oliveira-Virgule Open Cut), Kamoto, Kolwezi District, Katanga Copper Crescent, Katanga (Shaba), Democratic Republic Of Congo (Zaïre)","-10.715277777778,25.423611111111",OGR40_81,
Routhierite,Routhierite,2057,CuTlHg_2_As_2_S_6_,,Cu Tl Hg As S,5,1,6,3898,51,0,1,0,1,0,Routhierite,24,2.418,58.039,0.527,2008,260077,1973,1,0.03,red,1,3.5,1,Routhierite,9.9821,9.9821,11.3122,90,90,90,1127.174,tetragonal,42m,I42m,,I,2638,27164,7,35,"David Bell Mine, Hemlo Gold Deposit, Bomby Township, Thunder Bay District, Ontario, Canada","48.6925,-85.892777777778",,
Rouxelite,Rouxelite,2869,"Cu_2_HgPb_22_Sb_28_S_64_(O,S)_2_",,Cu Hg Pb Sb S O,6,,4,5211,52,0,1,0,1,0,Rouxelite,119,5.903,702.483,0.856,2005,171044,2002,1,0.2,black,1,,1,,43.1065,4.05955,37.877,90,117.34,90,5888.0275,monoclinic,2/m,C2/m,,C,260,784,3,14,"Magurka, Partizánska Lup?a, Liptovský Mikuláš Co., Žilina Region, Slovakia","48.936111111111,19.428888888889",,
Roxbyite,Roxbyite,1312,Cu_1.78_S,,Cu S,2,,20,3901,"51,78",0,1,1,1,0,Roxbyite,180,6.492,1168.534,0.867,,,1986,1,0.001,black,1,3,1,,13.4051,13.409,15.4852,90.0215,90.021,90.0202,2783.448,triclinic,1,P1,2,P,1588,11726,9,60,"Olympic Dam Mine, Roxby Downs, Stuart Shelf, South Australia, Australia","-30.44,136.87277777778",USGSOFR81-166,
Rruffite,Rruffite,2580,Ca_2_Cu^2+^(As^5+^O_4_)_2_·2H_2_O,,Ca Cu As O H,5,2,2,5800,72,0,0,1,0,1,Rruffite,38,3.301,125.421,0.629,,,2009,1,0.33,blue,4,3,1,Roselite,5.8632,12.7836,5.703333333,90,109.45,90,403.0853333,monoclinic,2/m,P21/c,,P,,,0,6,,,,
Sabatierite,Sabatierite,2871,Cu_6_TlSe_4_,,Cu Tl Se,3,,4,3918,52,0,1,0,1,0,Sabatierite,,,,,,,1976,1,0.005,gray,1,2.5,0,,3.9465,3.9465,24.33,90,90,90,378.936,tetragonal,4/m2/m2/m,I4/mmm,,I,313.6,757,2,14,"Bukov Mine, Rožná Deposit, Ž?ár Nad Sázavou, Vyso?ina Region, Moravia (Mähren; Maehren), Czech Republic","49.4575,16.228611111111",,
Sabelliite,Sabelliite,2581,Cu^2+^_2_Zn^2+^As^5+^O_4_(OH)_3_,,Cu Zn As O H,5,2,5,3919,72,0,0,1,0,1,Sabelliite,42,3.081,129.419,0.571,1995,80916,1994,1,0.02,green,3,4.5,1,,8.197,8.197,7.312,90,90,120,425.478,hexagonal,3,P3,,P,,,0,11,,,,
Sakuraiite,Sakuraiite,2874,"(Cu,Zn,Fe)_3_(In,Sn)S_4_",,Cu Zn Fe In Sn S,6,"1,2",4,3933,51,0,1,0,1,0,Sakuraiite,,,,,,,1965,1,0.05,gray,1,4,0,Sphalerite,5.4563,5.4563,5.4563,90,90,90,162.441,cubic,,,,,75.7,11621,1,9,"Ikuno Mine, Ikuno-cho-ono, Asago City, Hyogo Prefecture, Kinki Region, Honshu Island, Japan","35.166666666667,134.825",EG69_1207,
Salesite,Salesite,3793,Cu^2+^(I^5+^O_3_)(OH),,Cu I O H,4,2,2,3936,72,0,0,1,0,1,Salesite,28,2.522,70.606,0.525,1978,41804,1939,2,0.2,green,2,3,1,,10.7885,6.7095,4.7815,90,90,90,346.111,orthorhombic,2/m2/m2/m,Pnma,,P,35,641,1,7,"Chuquicamata Mine, Chuquicamata District, Calama, El Loa Province, Antofagasta Region, Chile","-22.289444444444,-68.901111111111",USGSOFR2008_1155,
Salzburgite,Salzburgite,2875,Cu_1.6_Pb_1.6_Bi_6.4_S_12_,,Cu Pb Bi S,4,,4,3938,53,0,1,0,1,0,Salzburgite,24,2.585,62.039,0.564,2006,156641,2000,1,0.03,gray,1,,1,Meneghinite,4.0074,11.2031,11.5133,90,90,90,516.893,orthorhombic,2/m2/m2/m,Pmcn,,P,,,0,8,,,,
Samaniite,Samaniite,4825,Cu_2_Fe_5_Ni_2_S_8_,,Cu Fe Ni S,4,,2,5638,11,0,1,0,1,0,Samaniite,,,,,,,2007,1,0.005,white,1,,0,,,,,,,,,,,,,,,,0,2,,,,
Sampleite,Sampleite,986,NaCaCu^2+^_5_(P^5+^O_4_)_4_Cl·5H_2_O,,Na Ca Cu P O Cl H,7,2,34,3941,"69,72,85",0,0,1,0,1,Sampleite,132,5.044,665.86,0.716,,,1942,2,1,blue,6,4,1,,9.68025,14.45925,14.72625,90,95.9275,90,1810.02575,monoclinic,2/m,P21/c,4,P,3110,10111,6,56,"Mbobo Mkulu Cave, Nelspruit, Ehlanzeni District, Mpumalanga Province, South Africa","0,0",GSLSP350_7,
Sanguite,Sanguite,3796,KCuCl_3_,,K Cu Cl,3,,1,6165,72,0,0,1,0,1,Sanguite,20,2.322,46.439,0.537,,,2013,1,,,,,1,,4.02855,13.7878,8.73475,90,97.2335,90,481.308,monoclinic,2/m,P21/c,,P,3.60E-05,259833,2,9,"Glavnaya Tenoritovaya Fumarole (Major Tenorite), Second Scoria Cone, Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Oblast', Far-Eastern Region, Russia","55.683333333333,160.23333333333",BV43_47,
Santarosaite,Santarosaite,4830,Cu^2+^B_2_O_4_,,Cu B O,3,2,1,5619,72,0,0,1,0,1,Santarosaite,42,2.869,120.477,0.532,,,2007,1,0.006,blue,2,,1,,11.484,11.484,5.62,90,90,90,741.178,tetragonal,42m,I42d,,I,,,0,2,,,,
Saranchinaite,Saranchinaite,4831,Na_2_Cu^2+^(S^6+^O_4_)_2_,,Na Cu S O,4,2,1,6423,72,0,0,1,0,1,Saranchinaite,,,,,,,2015,1,,,,,0,,9.0109,15.6355,10.1507,90,107.08,90,1367.056,monoclinic,2,P21,,P,3.60E-05,266437,1,6,"Naboko Cinder Cone, Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Oblast', Far-Eastern Region, Russia","55.768333333333,160.31638888889",BV43_47,
Sarrabusite,Sarrabusite,4832,Pb^2+^_5_Cu^2+^(Se^4+^O_3_)_4_Cl_4_,,Pb Cu Se O Cl,5,2,1,5997,72,0,0,1,0,1,Sarrabusite,52,3.777,196.423,0.663,,,1997,1,2,yellow,2,,1,,24.917,5.506,14.242,90,101.77,90,1912.821,monoclinic,2/m,C2/c,,C,,,0,3,,,,
Schlemaite,Schlemaite,4838,"(Cu,[box])_6_(Pb,Bi)Se_4_",,Cu Pb Bi Se,4,,1,5162,52,0,1,0,1,0,Schlemaite,,,,,,,2003,1,0.01,black,1,3,1,,9.5341,4.1004,10.2546,90,100.066,90,394.719,monoclinic,2/m,P21/m,,P,200,1893,1,5,"Shaft 371, Schlema-Hartenstein District, Erzgebirge, Saxony, Germany","0,0",OGR28_1,
Schmiederite,Schmiederite,1532,Cu^2+^_2_Pb^2+^_2_(Se^4+^O_3_)(Se^6+^O_4_)(OH)_4_,,Cu Pb Se O H,5,2,14,3989,72,0,0,1,0,1,Schmiederite,34,3.735,126.974,0.734,1987,68172,1963,2,0.1,blue,3,,1,Linarite,9.915,5.7025,9.3785,90,102.035,90,518.6115,monoclinic,2/m,P21/m,4,P,416,353,3,32,"El Dragón Mine, Antonio Quijarro Province, Potosí Department, Bolivia","-19.820833333333,-65.916666666667",TMR21_133,
Schuilingite-(Nd),Schuilingite-(Nd),3260,Cu^2+^Pb^2+^Nd^3+^(CO_3_)_3_(OH)·1.5H_2_O,,Cu Pb Nd C O H,6,2,3,4006,72,0,0,1,0,1,Schuilingite-(Nd),68,4.087,277.947,0.671,1999,87741,1948,4,0.15,blue,3,3.5,1,,7.3925,18.785,6.371,90,90,90,884.7665,orthorhombic,2mm,P21cn,,P,900,13482,2,10,"Kasompi Mine (Menda Mine; Kasompi Hill), Swambo, Katanga Copper Crescent, Katanga (Shaba), Democratic Republic Of Congo (Zaïre)","-10.975555555556,25.900277777778",USGSOFR03_107,
Schulenbergite,Schulenbergite,444,"(Cu^2+^,Zn^2+^)_7_(S^6+^O_4_)_2_(OH)_10_·3H_2_O",,Cu Zn S O H,5,2,129,4007,"72,89",0,0,1,0,1,Schulenbergite,30,2.706,81.168,0.551,1994,79548,1982,1,0.4,green,2,2,1,Ktenasite,8.211,8.211,7.106,90,90,120,414.904,hexagonal,3,P3,3,P,1703,74,55,235,"Kintore Opencut, Broken Hill, Yancowinna Co., New South Wales, Australia","-31.968611111111,141.46083333333",EG110_1027,
Scottyite,Scottyite,2883,BaCu^2+^_2_Si_2_O_7_,,Ba Cu Si O,4,2,5,6039,72,0,0,1,0,1,Scottyite,48,2.752,132.078,0.493,,,2012,1,6,blue,2,5,1,,6.85993125,13.17512125,6.8861325,90,90,90,622.37325,orthorhombic,2/m2/m2/m,Pnma,,P,354,13178,3,12,"Kahlenberg (Auf'm Kopp), Oberstadtfeld, Daun, Eifel, Rhineland-Palatinate, Germany","50.183333333333,6.7652777777778",,
Selenojalpaite,Selenojalpaite,4842,Ag_3_CuSe_2_,,Ag Cu Se,3,,1,5295,52,0,1,0,1,0,Selenojalpaite,,,,,,,2004,1,0.02,gray,1,4.5,0,,8.939,8.939,11.844,90,90,90,946.4,tetragonal,4/m2/m2/m,I41/amd,,I,,,0,1,,,,
Selenopolybasite,Selenopolybasite,3267,"Cu(Ag,Cu)_6_Ag_9_Sb_2_(S,Se)_9_Se_2_",,Cu Ag Sb S Se,5,,5,5563,"53,56",0,,,,,Selenopolybasite,,,,,,,2006,1,0.1,brown,1,3.5,0,,7.595,7.595,12.0731,90,90,120,603.12,hexagonal,32/m2/m,P3m1,,P,30.7,2326,1,9,"Valenciana Mine, Guanajuato, Mun. De Guanajuato, Guanajuato, Mexico","21,-101.26666666667",EG98_1029,
Seligmannite,Seligmannite,790,CuPbAsS_3_,,Cu Pb As S,4,,50,4032,52,0,1,0,1,0,Seligmannite,24,3.085,74.039,0.673,1970,14304,1901,6,2,gray,1,3,1,,8.091875,8.73505,7.64875,90,90,90,540.635,orthorhombic,2mm,Pn21m,8,P,2816,27164,16,105,"David Bell Mine, Hemlo Gold Deposit, Bomby Township, Thunder Bay District, Ontario, Canada","48.6925,-85.892777777778",EG98_51,
Sengierite,Sengierite,1789,Cu^2+^_2_(U^6+^O_2_)_2_(V^5+^O_4_)_2_(OH)_2_·6H_2_O,,Cu U O V H,5,2,12,4040,72,0,0,1,0,1,Sengierite,52,3.7,192.423,0.649,1980,200704,1949,4,0.2,green,2,2.5,1,,10.5945,8.0995,10.084,90,103.3795,90,841.8235,monoclinic,2/m,P21/a,4,P,675,4322,6,41,"Musonoi Mine, Kolwezi, Kolwezi District, Katanga Copper Crescent, Katanga (Shaba), Democratic Republic Of Congo (Zaïre)","-10.7,25.383333333333",OGR40_81,
