Db ID,Name,Z (chemical formula units in the unit cell),Elements,U redox,localities (corrected any < 10),Db ID,Paragenetic mode,Metamorphic,Primary,Secondary,Abiotic,Biotic,v,IG,"IG,total","IG,n",H atoms,max size (cm),color,luster,hard,topology,structure type,a,b,c,α,β,γ,volume,crystal system,point group,space group,lattice,Max Age (Ma)
4981,Coutinhoite,16,6,6,1,4981,"16,72",FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.01,yellow,waxy-silky,2,framework,,14.1676,14.1935,35.754,90,90,90,7189.7,orthorhombic,2/m2/m2/m,Cmmb,C,630
1602,Cuprosklodowskite,1,5,6,57,1602,72,FALSE,FALSE,TRUE,FALSE,TRUE,23,3.567,82.042,0.789,FALSE,3,green,silky,4,sheet,,7.052,9.267,6.655,109.2,89.8,110,383.028,triclinic,-1,P-1,P,1850
1607,Curienite,4,5,6,14,1607,72,FALSE,FALSE,TRUE,FALSE,TRUE,84,3.44,288.955,0.538,FALSE,,yellow,,3,sheet,Fritzscheite,10.419,8.494,16.405,90,90,90,1451.826,orthorhombic,2/m2/m2/m,Pcan,P,675
1608,Curite,2,4,6,50,1608,72,FALSE,FALSE,TRUE,FALSE,TRUE,88,4.005,352.43,0.62,FALSE,0.001,red-orange,3,4-5,sheet,,12.3143,12.9609,8.4053,90,90,90,1341.523,orthorhombic,2/m2/m2/m,Pnam,P,3074
1648,Deliensite,4,5,6,13,1648,72,FALSE,FALSE,TRUE,FALSE,TRUE,104,4.7,488.846,0.702,FALSE,0.4,"pale yellow, gray",2,2,sheet,,15.8514,16.2478,6.8943,90,90,90,1775.63,orthorhombic,mm2,Pnn2,P,330.6
1652,Deloryite,2,6,6,1,1652,72,FALSE,FALSE,TRUE,FALSE,TRUE,23,3.219,74.042,0.712,FALSE,0.6,"dark green, black",2,4,sheet,,19.49,6.116,5.52,90,104.18,90,652.67,monoclinic,2/m,C2/m,C,251
1654,Demesmaekerite,1,6,6,2,1654,72,FALSE,FALSE,TRUE,FALSE,TRUE,45,4.514,203.133,0.822,FALSE,1,green,,3-4,sheet,,11.955,10.039,5.639,89.78,100.36,91.34,665.556,triclinic,-1,P-1,P,675
1658,Derriksite,2,5,6,2,1658,72,FALSE,FALSE,TRUE,FALSE,TRUE,42,3.916,164.477,0.726,FALSE,0.0007,green,2,,sheet,,5.57,19.088,5.965,90,90,90,634,orthorhombic,mm2,Pn21m,P,675
1665,Dewindtite,4,5,6,80,1665,72,FALSE,FALSE,TRUE,FALSE,TRUE,132,4.469,589.86,0.634,FALSE,0.003,yellow,4,,sheet,Phosphuranylite,16.031,17.264,13.605,90,90,90,3765,orthorhombic,2/m2/m2/m,Bmmb,B,1757
1713,Dumontite,2,5,6,17,1713,72,FALSE,FALSE,TRUE,FALSE,TRUE,56,4.022,225.212,0.693,FALSE,0.002,yellow,,,sheet,,8.118,16.819,6.983,90,109.03,90,901.328,Monoclinic,2/m,P21/m,P,1757
5929,Dymkovite,2,5,6,1,5929,72,FALSE,FALSE,TRUE,FALSE,TRUE,21,3.059,64.239,0.696,FALSE,0.0015,yellow,2,3,sheet,,17.99,7.033,6.633,90,99.62,90,827,monoclinic,2/m,C2/m,C,356
6539,Ewingite,8,6,6,1,6539,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,12684.86,,FALSE,0.0002,yellow,2,2,cluster,,35.142,35.142,47.974,90,90,90,59245,tetragonal,4/m2/m2/m,I41/acd,I,330.6
6367,Fermiite,4,5,6,1,6367,"72,76",FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.0005,greenish-yellow,2,2.5,chain,,11.8407,7.8695,15.3255,90,90,90,1428,orthorhombic,mm2,Pmn2,P,0
6672,Feynmanite,4,5,6,2,6672,"72,76",FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.0001,greenish-yellow,2,2,sheet,,6.927,8.355,16.21,90,90.543,90,938.1,monoclinic,2/m,P2/n,P,0
